Invalid_Comments,keywords
reassigning test latest build verify still encountered r nthanks,"['reassigning test latest build verify', 'reassigning test latest build', 'test latest build verify', 'latest build verify still encountered', 'reassigning test latest', 'verify still encountered r nthanks', 'test latest build', 'latest build verify', 'build verify still encountered', 'reassigning test', 'encountered r nthanks', 'test latest', 'latest build', 'build verify', 'verify still encountered', 'reassigning', 'nthanks', 'test', 'latest', 'build']"
validate issue recent code drop thank,"['validate issue recent code drop', 'validate issue recent code', 'issue recent code drop', 'validate issue recent', 'issue recent code', 'recent code drop', 'validate issue', 'issue recent', 'recent code', 'code drop', 'validate', 'issue', 'recent', 'code', 'drop']"
validate issue recent code drop thank,"['validate issue recent code drop', 'validate issue recent code', 'issue recent code drop', 'validate issue recent', 'issue recent code', 'recent code drop', 'validate issue', 'issue recent', 'recent code', 'code drop', 'validate', 'issue', 'recent', 'code', 'drop']"
closing bug depending answer create new one r nplease look connect booking page profile picture small r nshould profile voyage setting top right cropped considered invalid ui suggestion based mockups per conversation meeting size correct first glance could take ticket visual qa since clearly cropping issue,"['closing bug depending answer create', 'connect booking page profile picture', 'booking page profile picture small', 'nshould profile voyage setting top', 'closing bug depending answer', 'bug depending answer create', 'nplease look connect booking page', 'voyage setting top right cropped', 'setting top right cropped considered', 'top right cropped considered invalid', 'cropped considered invalid ui suggestion', 'considered invalid ui suggestion based', 'invalid ui suggestion based mockups', 'suggestion based mockups per conversation', 'based mockups per conversation meeting', 'mockups per conversation meeting size', 'conversation meeting size correct', 'meeting size correct first glance', 'page profile picture small', 'profile picture small r nshould']"
validate issue recent code drop thank no longer reproduce,"['validate issue recent code drop', 'validate issue recent code', 'issue recent code drop', 'validate issue recent', 'drop thank no longer reproduce', 'issue recent code', 'recent code drop', 'code drop thank no longer', 'validate issue', 'longer reproduce', 'issue recent', 'recent code', 'code drop', 'drop thank no longer', 'validate', 'reproduce', 'issue', 'recent', 'code', 'drop']"
web marketing page not published need publish page since share component page inherited moment share component web marketing not published r nhere recording go let know anything wrong r n read comment web marketing page not published r nyes working thanks help publishing suite page normally page component share component also global one r n defect invalid assigned back board marked done understanding invalid defect should tracked cancelled otherwise make seem like effort completed team resolve hello r n r nthank update r n r nplease mention clearly user story well r n r nthanks r nrashmi r n r nthis normal workflow inherited component cm inheritance logic criterion already mentioned r n r nplease clarify needed added since publishing workflow opinion outside scope development task description r n r nthanks r n r njake,"['nthanks r n r njake', 'global one r n defect', 'page not published need publish', 'moment share component web marketing', 'read comment web marketing page', 'inherited moment share component web', 'share component page inherited moment', 'component page inherited moment share', 'page inherited moment share component', 'nthis normal workflow inherited component', 'defect invalid assigned back board', 'invalid assigned back board marked', 'share component web marketing', 'page component share component', 'comment web marketing page', 'share component page inherited', 'moment share component web', 'read comment web marketing', 'web marketing page not published', 'inherited moment share component']"
appears old bug implementation done recently following latest documentation available appears old bug implementation done recently following latest documentation available,"['bug implementation done recently', 'implementation done recently following latest', 'recently following latest documentation', 'bug implementation', 'implementation done recently', 'recently following latest', 'latest documentation', 'bug', 'implementation', 'recently', 'latest', 'documentation', 'documentation available appears old bug']"
r nanother issue found prod r n r nmessage guest address update failed seaware r n r nmessage detail seaware error client id edited xml server operator bizlogic ota workstation vvseaprodblota r n r ncorrelationid dca ff c b febb r n r nkibana link discussed lock process va call review month back need seaware extend end point build vxp user not end going page indeed designed error message somebody concurrently editing booking client respectively usualy approach issue r n happens rarely intermittently fall back mechanism try later e g batch queue user redirected error page specific message error possibly option contact call center r n happens specific reproducible scenario may synchronization issue making sure two application dont attempt modfy booking case need sw ota log order understand moment error happens scenario try figure application lock booking client test per defect triage test per defect triage not retested not know actual scenario coming prod dev pending able lock booking edit mode due dependency seaware support r n r nclosing bug would expected behaviour,"['center r n happens specific', 'prod r n r nmessage', 'issue r n happens rarely', 'seaware r n r nmessage', 'user not end going page', 'error happens scenario try figure', 'application lock booking client test', 'figure application lock booking client', 'lock booking edit mode due', 'nmessage detail seaware error client', 'application dont attempt modfy booking', 'dont attempt modfy booking case', 'booking edit mode due dependency', 'nmessage guest address update failed', 'nkibana link discussed lock process', 'end point build vxp user', 'page specific message error possibly', 'user redirected error page specific', 'redirected error page specific message', 'scenario coming prod dev pending']"
close bug really no detail sailing selected need close let see come closing,"['detail sailing selected need close', 'bug really no detail sailing', 'detail sailing selected', 'close bug really no detail', 'sailing selected need close', 'bug really no detail', 'detail sailing', 'sailing selected', 'close bug', 'close let see come closing', 'closing', 'selected need close', 'close', 'bug', 'detail', 'sailing', 'selected']"
advise ticket r ni prioritising bug triage issue not production therefore newly introduced issue suggestion try fix go uat prevent running across environment r nthanks r nc sorry wrongly assigned assign marketing related ui defect r nanything ecomm assign dc team already fixed part r n r test defect deployed assigning n,"['part r n r test', 'wrongly assigned assign marketing related', 'fix go uat prevent running', 'uat prevent running across environment', 'prioritising bug triage issue', 'production therefore newly introduced issue', 'newly introduced issue suggestion', 'introduced issue suggestion try fix', 'wrongly assigned assign marketing', 'assigned assign marketing related', 'test defect deployed assigning', 'bug triage issue not production', 'nanything ecomm assign dc team', 'defect r nanything ecomm assign', 'assign marketing related ui defect', 'prioritising bug triage', 'production therefore newly introduced', 'suggestion try fix go uat', 'fix go uat prevent', 'uat prevent running']"
field not dynamic static text always appear hint indicate incorrect submission r nbut still checking check box left email id field blank clicking sign button second error message should not come r n not requirement provided team clarify moved back backlog defect not valid based requirement should cancelled based understanding cancelling defect per not requirement hello r n r nkindly advise right requirement newsletter behavior sweepstakes page different homepage r n r nthanks r nrashmi r n r n behavior homepage see included screenshots r n r n screen shot screen shot,"['defect per not requirement', 'homepage r n r nthanks', 'cancelling defect per not requirement', 'requirement newsletter behavior sweepstakes page', 'requirement provided team clarify moved', 'cancelled based understanding cancelling defect', 'field blank clicking sign button', 'clarify moved back backlog defect', 'checking check box left email', 'provided team clarify moved back', 'team clarify moved back backlog', 'screen shot screen shot', 'requirement newsletter behavior sweepstakes', 'requirement provided team clarify', 'based understanding cancelling defect', 'field blank clicking sign', 'moved back backlog defect', 'cancelled based understanding cancelling', 'newsletter behavior sweepstakes page', 'nbut still checking check box']"
review assign user story not part release r nbelow link release r review agree cancel defect put copy test retest within test rail lead source field updated lead page not account page cancelling defect change account page lead source still not available,"['agree cancel defect put copy', 'rail lead source field updated', 'review agree cancel defect put', 'cancel defect put copy test', 'defect put copy test retest', 'account page cancelling defect change', 'cancelling defect change account page', 'test rail lead source field', 'page cancelling defect change account', 'lead source field updated lead', 'source field updated lead page', 'change account page lead source', 'defect change account page lead', 'assign user story not part', 'user story not part release', 'part release r nbelow link', 'release r nbelow link release', 'review assign user story', 'agree cancel defect put', 'cancel defect put copy']"
review think issue test case need updated match screen change cooky r n r n updated test case accordingly rejected not valid defect test case issue cancelling defect per comment r n,"['updated match screen change cooky', 'valid defect test case issue', 'defect test case issue cancelling', 'test case issue cancelling defect', 'match screen change cooky', 'updated match screen change', 'rejected not valid defect test', 'valid defect test case', 'test case issue cancelling', 'case issue cancelling defect', 'review think issue test case', 'defect test case issue', 'issue cancelling defect per comment', 'updated test case accordingly rejected', 'case need updated match screen', 'match screen change', 'screen change cooky', 'test case need updated match', 'updated match screen', 'rejected not valid defect']"
review assign according user story ps save shop button should appear lead page sailor call vv r n save shop button hidden creating lead manually r n no change hapened behavior manually lead creation page navigator not supposed create lead manually r nthis new button provided qa team create lead end end flow ideally need lead creation via cti case no matching record r n r nthe page talking popped via cti call no matching record not defect need change behavior raise change request r n r nlet know detail r n raise change request,"['button should appear lead', 'call vv r n save', 'record r n r nthe', 'request r n r nlet', 'manually r n no change', 'button should appear lead page', 'shop button should appear lead', 'save shop button hidden creating', 'shop button hidden creating lead', 'change behavior raise change request', 'hapened behavior manually lead creation', 'button hidden creating lead manually', 'manually lead creation page navigator', 'change hapened behavior manually lead', 'team create lead end end', 'create lead end end flow', 'behavior manually lead creation page', 'lead end end flow ideally', 'cti case no matching record', 'review assign according user story']"
assigning back duplicate bug cancel duplicate,"['assigning back duplicate bug cancel', 'back duplicate bug cancel duplicate', 'assigning back duplicate bug', 'back duplicate bug cancel', 'duplicate bug cancel duplicate', 'assigning back duplicate', 'back duplicate bug', 'duplicate bug cancel', 'bug cancel duplicate', 'assigning back', 'bug cancel', 'back duplicate', 'duplicate bug', 'cancel duplicate', 'assigning', 'duplicate', 'back', 'bug', 'cancel']"
per mentioned comment closing defect,"['mentioned comment closing defect', 'comment closing defect', 'mentioned comment closing', 'closing defect', 'mentioned comment', 'comment closing', 'defect', 'mentioned', 'comment', 'closing']"
hey r n r ncould look defect r nwe unable add campaignid sailor second time r n r nfyi review bug comment thanks r n r nhow suggest troubleshoot should expected behavior r n r nthis excepted behavior sailor already added campaign no need add r n r nplease refer ac detail error getting sf try add campaign id user r n code java r n message invalid campaignid aprcampaign r n code r n error message salesforce contains add account camp member add lead campaign member map invalid campaign id message end r n r nwhile developing used send invalid campaign id error message would get salesforce r n r nhowever retested defect today see able optin previously used campaign id r n could retest r n r n r n r ni retested issue seems crm made change end able add campaign second time r n r nthanks regard r ntejas parmar know change made allow still waiting response crm thought discussed stand expected behavior update standard behavior sfdc not add person campaign,"['message would get salesforce', 'code r n error', 'end r n r nwhile', 'salesforce r n r nhowever', 'behavior r n r nthis', 'error getting sf try add', 'add r n r nplease', 'campaign no need add', 'error message would get salesforce', 'code r n error message', 'added campaign no need add', 'campaign member map invalid campaign', 'member add lead campaign member', 'camp member add lead campaign', 'add lead campaign member map', 'lead campaign member map invalid', 'add account camp member add', 'expected behavior update standard behavior', 'behavior update standard behavior sfdc', 'nwe unable add campaignid sailor']"
r n r na per kafka message received reservation look fine amanda nimnicht exists crm sailor agent r n r nagent crm id atzyw r nsailor crm id aqlkm r n r nfollowing kafka message pm r n r n xml version encoding utf standalone yes vx ota cruisepnr updatenotifrq xmlns vx xmlns n xmlns n timestamp targetname seaware version vx sailinginfo vx selectedsailing voyageid scnoh start duration pd end vx cruiseline shipcode sc shipname scarlet lady vx region regioncode cuba vx departureport embarkationtime locationcode mia codecontext seaware miami vx departureport vx arrivalport debarkationdatetime locationcode mia codecontext seaware miami vx arrivalport vx selectedsailing vx inclusivepackageoption cruisepackagecode noh start end vx currency currencycode usd vx selectedcategory waitlistindicator false pricedcategorycode tr vx selectedcabin guestrefnumbers status shipside port cabincategorystatuscode cabincategorycode tr cabinranking cabinnumber maxoccupancy decknumber deckname deck vx measurementinfo dimensioninfo sea terrace vx cabinattributes vx cabinattribute cabinattributecode vx cabinattribute cabinattributecode vx cabinattributes vx selectedcabin vx selectedcategory vx information name name vx text formatted false havana dark vx text vx information vx information name pkgtypecomment vx text formatted false havana dark vx text vx information vx sailinginfo vx reservationinfo vx reservationid statuscode bookeddate type id id context seaware vx companyname int agent vx companyname vx tpa extension n agentinfo contact amanda nimnicht contactid n agencyinfo contact odyssey travel contactid n contactinfo contact amanda nimnicht contactid vx tpa extension vx reservationid vx guestdetails vx guestdetail vx contactinfo guestrefnumber age nationality u personbirthdate gender female loyaltymembershipid contacttype regular birthdate vx personname vx nameprefix m vx nameprefix vx givenname mary vx givenname vx middlename vx middlename vx surname working designed seems trainign issue r n r n r nif agent making booking not want part reservation should not include guest salesforce main account information coming assign user account owner reservation else guestref number would assigned r n r nrejectting let know need information r n ok cancelling defect particular scenario not see agent included guest reservation chatted found identical example prod however saurabh checked opportunity mentioned jira account owner changed guest not agent automated process latest update happened client included problem update sfdc get seaware r n r nfyi checking seaware booking couple one behavior first mate listed reservation contact reflects account name opportunity sf even though not traveling closing jira canceling working expected created change current behavior,"['booking not want part', 'aqlkm r n r nfollowing', 'assigned r n r nrejectting', 'type id id context', 'pricedcategorycode tr vx selectedcabin', 'selectedcabin vx selectedcategory vx information', 'agent r n r nagent', 'seaware r n r nfyi', 'information r n ok cancelling', 'making booking not want part', 'information name name vx text', 'booking not want part reservation', 'bookeddate type id id context', 'agent vx companyname vx tpa', 'pricedcategorycode tr vx selectedcabin guestrefnumbers', 'false pricedcategorycode tr vx selectedcabin', 'type id id context seaware', 'text vx information vx sailinginfo', 'information vx information name pkgtypecomment', 'xmlns vx xmlns n xmlns']"
not defect expected extending functionality gif normally life not feature cancel r n r nin addition not assign ticket visionary voyager nor specific sprint clear add animated gifs need second prevent breaking ada rule otherwise need control r neither way content not bug need changed right r nthats view happy close testing functionality r n leave jacob agree r nthanks r nc gif production gifs not optimal website since larger file size take longer load slow webspeeds part work implemented optimization help decrease page load time part changed component also support video place gifs requirement video per ada rejected per comment cap testing close r nthanks r nc canceled per feedback,"['testing functionality r n leave', 'functionality r n leave jacob', 'functionality r n leave', 'gifs need second prevent', 'cancel r n r nin', 'animated gifs need second prevent', 'gifs need second prevent breaking', 'specific sprint clear add animated', 'slow webspeeds part work implemented', 'webspeeds part work implemented optimization', 'nthats view happy close testing', 'longer load slow webspeeds part', 'load slow webspeeds part work', 'decrease page load time part', 'view happy close testing functionality', 'page load time part changed', 'load time part changed component', 'sprint clear add animated gifs', 'defect expected extending functionality gif', 'support video place gifs requirement']"
not defect content changed content published issue yes test close defect r n fyi yes not defect expected content not published correctly should not assigned team publish content content not displaying verify logging defect r n,"['fyi yes not defect', 'fyi yes not defect expected', 'assigned team publish content content', 'content changed content published issue', 'defect content changed content published', 'published issue yes test close', 'issue yes test close defect', 'displaying verify logging defect', 'assigned team publish content', 'changed content published issue', 'content published issue yes test', 'team publish content content', 'content changed content published', 'defect content changed content', 'content not displaying verify logging', 'content content not displaying verify', 'publish content content not displaying', 'expected content not published correctly', 'issue yes test close', 'assigned team publish']"
seaware main working designed,"['seaware main working designed', 'seaware main working', 'main working designed', 'seaware main', 'working designed', 'main working', 'seaware', 'designed', 'main', 'working']"
test,['test']
validate click guest order proceed click device back button nothing happens order stay open refer attached video n n x n n take prioritized business device back button work detail popup closed retested defect build issue still exists attached recording mention need close detail overlay click device back button check rechecked app navigates dashboard cart screen tap device back button attached recording n n n n retest device back button cart screen n n device back button always go dashboard module get open dashboard not back button arrow module maintain state module path issue not valid rechecked current behavior expected hence closing defect n n screen internal tab menu option opened tapping device back button won close option menu instead navigate previous screen n nex navigate pending deck cart select order tapping device back button take dashboard instead closing order detail layout taking cart pending deck cart tab within single screen n n tapping device back button history screen take previous screen e order screen two different screen n n n nattached video,"['defect n n screen', 'screen n n tapping', 'button always go dashboard', 'screen n n n nattached', 'button nothing happens order', 'screen two different screen', 'screen n n device', 'single screen n n tapping', 'closing defect n n screen', 'defect n n screen internal', 'button always go dashboard module', 'order screen two different screen', 'button nothing happens order stay', 'button take dashboard instead closing', 'screen n n tapping device', 'cart screen n n device', 'back button always go dashboard', 'back button nothing happens order', 'screen n n device back', 'opened tapping device back button']"
functionality not delivered uat environment r nhence closing defect,"['functionality not delivered uat environment', 'environment r nhence closing defect', 'delivered uat environment r nhence', 'uat environment r nhence closing', 'functionality not delivered uat', 'nhence closing defect', 'delivered uat environment', 'uat environment r nhence', 'environment r nhence closing', 'functionality not delivered', 'closing defect', 'delivered uat', 'uat environment', 'environment r nhence', 'nhence closing', 'functionality', 'defect', 'delivered', 'uat', 'environment']"
functionality not delivered uat environment r nclosing defect,"['functionality not delivered uat environment', 'uat environment r nclosing defect', 'delivered uat environment r nclosing', 'functionality not delivered uat', 'environment r nclosing defect', 'delivered uat environment', 'uat environment r nclosing', 'functionality not delivered', 'nclosing defect', 'delivered uat', 'uat environment', 'environment r nclosing', 'functionality', 'defect', 'delivered', 'uat', 'environment', 'nclosing']"
cm integration not yet completed expected behavior cm integration r n,"['completed expected behavior cm integration', 'completed expected behavior', 'expected behavior cm integration', 'integration not yet completed expected', 'completed expected', 'expected behavior', 'behavior cm integration', 'integration not yet completed', 'integration', 'completed', 'expected', 'behavior']"
provde detail exact scenario add pre provide detail required branden mallardi issue related post cruise scenario not test right also defer pls share update reduce severity not fixed tested tagging check get credential voyage assign correct team decrease priority issue something related post cruise agreed priority lowered n retested scenario qa build post cruise sailor account n nbut currently couldn find emergency contact section profile setting page n ncredentials gauri gauri admin n nreservation feb nd sail sail completed n nkindly find recording reference n n n nfyi unable find emergency contact section profile setting page n n n n update n n check update issue valid post voyage not sure decided happens voyage setting post voyage booking accessed via app found doesn say anything post voyage n ni set time discus n n moving,"['discus n n moving', 'voyage not sure decided', 'update n n check', 'reference n n n nfyi', 'voyage n ni set', 'update n n check update', 'post voyage not sure decided', 'voyage n ni set time', 'post voyage n ni set', 'emergency contact section profile setting', 'contact section profile setting page', 'find emergency contact section profile', 'voyage setting post voyage booking', 'issue related post cruise scenario', 'couldn find emergency contact section', 'unable find emergency contact section', 'mallardi issue related post cruise', 'setting post voyage booking accessed', 'related post cruise agreed priority', 'update issue valid post voyage']"
elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf r n r nwaiting android device retest validating get device r n r nandroid scope r ncancelling defect r n,"['device r n r nandroid', 'elmer deleon accountid cfeceefdece fixed', 'nfyi luis gonzalez accountid aaabfecf', 'deleon accountid cfeceefdece fixed assigning', 'accountid cfeceefdece fixed assigning verification', 'nwaiting android device retest validating', 'elmer deleon accountid cfeceefdece', 'cfeceefdece fixed assigning verification', 'nandroid scope r ncancelling defect', 'nfyi luis gonzalez accountid', 'deleon accountid cfeceefdece fixed', 'accountid cfeceefdece fixed assigning', 'luis gonzalez accountid aaabfecf', 'nwaiting android device retest', 'android device retest validating', 'device retest validating get device', 'elmer deleon accountid', 'cfeceefdece fixed assigning', 'fixed assigning verification', 'nfyi luis gonzalez']"
qa retest r n n ni verified qa cruise voyage showing n hour left embarkation sail already started thats voyage setting option visible well editable n nmight issue linked n nthanks n nkanchan n n share update not able test issue not able create booking voyage simulate onboard case n ncan help u providing credential booking verify n n n n tagging test soon get credential n n r nnow earliest voyage available th july th july r ni created booking test onboard case th july onwards r nplease find credential r nusername testjuly r npassword test r n r n defect cruise period think change priority defect medium not required first product drop suggest r n r n agreed dealing shipboard mode app coming later roadmap thanks udpated priority medium per cancelling invalid taken development,"['nkanchan n n share', 'test soon get credential', 'july r ni created', 'credential n n r nnow', 'nkanchan n n share update', 'tagging test soon get credential', 'july r ni created booking', 'booking voyage simulate onboard case', 'created booking test onboard case', 'create booking voyage simulate onboard', 'agreed dealing shipboard mode app', 'dealing shipboard mode app coming', 'booking test onboard case', 'voyage simulate onboard case', 'booking voyage simulate onboard', 'created booking test onboard', 'create booking voyage simulate', 'july onwards r nplease find', 'providing credential booking verify', 'change priority defect medium']"
elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf r n waiting device test get device r nandroid not scope testing r ncancelling defect,"['verification r n r nfyi', 'elmer deleon accountid cfeceefdece fixed', 'deleon accountid cfeceefdece fixed assigning', 'accountid cfeceefdece fixed assigning verification', 'nfyi luis gonzalez accountid aaabfecf', 'scope testing r ncancelling defect', 'elmer deleon accountid cfeceefdece', 'cfeceefdece fixed assigning verification', 'deleon accountid cfeceefdece fixed', 'accountid cfeceefdece fixed assigning', 'nfyi luis gonzalez accountid', 'luis gonzalez accountid aaabfecf', 'waiting device test get device', 'testing r ncancelling defect', 'elmer deleon accountid', 'cfeceefdece fixed assigning', 'fixed assigning verification', 'nfyi luis gonzalez', 'nandroid not scope testing', 'scope testing r ncancelling']"
issue fixed assigning testing issue reproduced n nsailor landing first incomplete task clicking rts card sailor dash board issue still exists assigning back attached recording n n n n thanks look per comment expected behaviour hence closing item r nwork first time intro screen handled bug,"['time intro screen handled bug', 'incomplete task clicking rts card', 'task clicking rts card sailor', 'clicking rts card sailor dash', 'rts card sailor dash board', 'exists assigning back attached recording', 'card sailor dash board issue', 'fixed assigning testing issue reproduced', 'issue fixed assigning testing issue', 'intro screen handled bug', 'nsailor landing first incomplete task', 'landing first incomplete task clicking', 'incomplete task clicking rts', 'task clicking rts card', 'clicking rts card sailor', 'rts card sailor dash', 'card sailor dash board', 'comment expected behaviour hence closing', 'expected behaviour hence closing item', 'nwork first time intro screen']"
issue also observed iphone x r nattached screenshot reference r n r n r nhi elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf r nwaitig android device validating get device r n r nandroid not scope testing r ncancelling defect,"['device r n r nandroid', 'nhi elmer deleon accountid cfeceefdece', 'elmer deleon accountid cfeceefdece fixed', 'deleon accountid cfeceefdece fixed assigning', 'accountid cfeceefdece fixed assigning verification', 'nfyi luis gonzalez accountid aaabfecf', 'scope testing r ncancelling defect', 'nhi elmer deleon accountid', 'elmer deleon accountid cfeceefdece', 'deleon accountid cfeceefdece fixed', 'accountid cfeceefdece fixed assigning', 'nfyi luis gonzalez accountid', 'luis gonzalez accountid aaabfecf', 'gonzalez accountid aaabfecf r nwaitig', 'accountid aaabfecf r nwaitig android', 'aaabfecf r nwaitig android device', 'nwaitig android device validating', 'cfeceefdece fixed assigning verification', 'android device validating get device', 'issue also observed iphone']"
checked qa taking limited number character look thanks r ncc assistance reason field taking max number character no requirement given specific number character assigning back not bug r n r nfyi u confirm bug cancelled based new requested story added enhancement requirement new story mentioned comment r n r nfyi,"['bug r n r nfyi', 'character look thanks r ncc', 'specific number character assigning back', 'field taking max number character', 'reason field taking max number', 'ncc assistance reason field taking', 'assistance reason field taking max', 'requested story added enhancement requirement', 'specific number character assigning', 'number character assigning back', 'ncc assistance reason field', 'taking limited number character', 'taking max number character', 'field taking max number', 'reason field taking max', 'based new requested story added', 'assistance reason field taking', 'confirm bug cancelled based', 'bug cancelled based new requested', 'cancelled based new requested story']"
received defect last sprint change always show r n r n assist getting conflicting requirement provided team via defect cause duplicate work skews defect stats etc r n r n tracking test fixed r n r n per design checkbox text should appear user click email entry field exactly email sign module work r nthanks r nc need revert work completed last sprint part defect raised create task track rework not tracking defect since issue caused previously invalid defect yes originally working per comment need reverted r nthanks r nc,"['nthanks r nc need revert', 'team via defect cause duplicate', 'raised create task track rework', 'user click email entry field', 'sprint part defect raised create', 'part defect raised create task', 'defect raised create task track', 'issue caused previously invalid defect', 'duplicate work skews defect stats', 'revert work completed last sprint', 'work completed last sprint part', 'assist getting conflicting requirement provided', 'conflicting requirement provided team', 'raised create task track', 'create task track rework', 'issue caused previously invalid', 'user click email entry', 'click email entry field', 'email sign module work', 'completed last sprint part defect']"
