Invalid_Comments,Value
r n r na per kafka message received reservation look fine amanda nimnicht exists crm sailor agent r n r nagent crm id atzyw r nsailor crm id aqlkm r n r nfollowing kafka message pm r n r n xml version encoding utf standalone yes vx ota cruisepnr updatenotifrq xmlns vx xmlns n xmlns n timestamp targetname seaware version vx sailinginfo vx selectedsailing voyageid scnoh start duration pd end vx cruiseline shipcode sc shipname scarlet lady vx region regioncode cuba vx departureport embarkationtime locationcode mia codecontext seaware miami vx departureport vx arrivalport debarkationdatetime locationcode mia codecontext seaware miami vx arrivalport vx selectedsailing vx inclusivepackageoption cruisepackagecode noh start end vx currency currencycode usd vx selectedcategory waitlistindicator false pricedcategorycode tr vx selectedcabin guestrefnumbers status shipside port cabincategorystatuscode cabincategorycode tr cabinranking cabinnumber maxoccupancy decknumber deckname deck vx measurementinfo dimensioninfo sea terrace vx cabinattributes vx cabinattribute cabinattributecode vx cabinattribute cabinattributecode vx cabinattributes vx selectedcabin vx selectedcategory vx information name name vx text formatted false havana dark vx text vx information vx information name pkgtypecomment vx text formatted false havana dark vx text vx information vx sailinginfo vx reservationinfo vx reservationid statuscode bookeddate type id id context seaware vx companyname int agent vx companyname vx tpa extension n agentinfo contact amanda nimnicht contactid n agencyinfo contact odyssey travel contactid n contactinfo contact amanda nimnicht contactid vx tpa extension vx reservationid vx guestdetails vx guestdetail vx contactinfo guestrefnumber age nationality u personbirthdate gender female loyaltymembershipid contacttype regular birthdate vx personname vx nameprefix m vx nameprefix vx givenname mary vx givenname vx middlename vx middlename vx surname working designed seems trainign issue r n r n r nif agent making booking not want part reservation should not include guest salesforce main account information coming assign user account owner reservation else guestref number would assigned r n r nrejectting let know need information r n ok cancelling defect particular scenario not see agent included guest reservation chatted found identical example prod however saurabh checked opportunity mentioned jira account owner changed guest not agent automated process latest update happened client included problem update sfdc get seaware r n r nfyi checking seaware booking couple one behavior first mate listed reservation contact reflects account name opportunity sf even though not traveling closing jira canceling working expected created change current behavior,duplicate issue
not defect expected extending functionality gif normally life not feature cancel r n r nin addition not assign ticket visionary voyager nor specific sprint clear add animated gifs need second prevent breaking ada rule otherwise need control r neither way content not bug need changed right r nthats view happy close testing functionality r n leave jacob agree r nthanks r nc gif production gifs not optimal website since larger file size take longer load slow webspeeds part work implemented optimization help decrease page load time part changed component also support video place gifs requirement video per ada rejected per comment cap testing close r nthanks r nc canceled per feedback,cancelling defect
not defect content changed content published issue yes test close defect r n fyi yes not defect expected content not published correctly should not assigned team publish content content not displaying verify logging defect r n,duplicate issue
seaware main working designed,working as expected
test,duplicate issue
validate click guest order proceed click device back button nothing happens order stay open refer attached video n n x n n take prioritized business device back button work detail popup closed retested defect build issue still exists attached recording mention need close detail overlay click device back button check rechecked app navigates dashboard cart screen tap device back button attached recording n n n n retest device back button cart screen n n device back button always go dashboard module get open dashboard not back button arrow module maintain state module path issue not valid rechecked current behavior expected hence closing defect n n screen internal tab menu option opened tapping device back button won close option menu instead navigate previous screen n nex navigate pending deck cart select order tapping device back button take dashboard instead closing order detail layout taking cart pending deck cart tab within single screen n n tapping device back button history screen take previous screen e order screen two different screen n n n nattached video,duplicate issue
functionality not delivered uat environment r nhence closing defect,reproducible or environment issue
functionality not delivered uat environment r nclosing defect,reproducible or environment issue
cm integration not yet completed expected behavior cm integration r n,working as expected
provde detail exact scenario add pre provide detail required branden mallardi issue related post cruise scenario not test right also defer pls share update reduce severity not fixed tested tagging check get credential voyage assign correct team decrease priority issue something related post cruise agreed priority lowered n retested scenario qa build post cruise sailor account n nbut currently couldn find emergency contact section profile setting page n ncredentials gauri gauri admin n nreservation feb nd sail sail completed n nkindly find recording reference n n n nfyi unable find emergency contact section profile setting page n n n n update n n check update issue valid post voyage not sure decided happens voyage setting post voyage booking accessed via app found doesn say anything post voyage n ni set time discus n n moving,duplicate issue
elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf r n r nwaiting android device retest validating get device r n r nandroid scope r ncancelling defect r n,reproducible or environment issue
qa retest r n n ni verified qa cruise voyage showing n hour left embarkation sail already started thats voyage setting option visible well editable n nmight issue linked n nthanks n nkanchan n n share update not able test issue not able create booking voyage simulate onboard case n ncan help u providing credential booking verify n n n n tagging test soon get credential n n r nnow earliest voyage available th july th july r ni created booking test onboard case th july onwards r nplease find credential r nusername testjuly r npassword test r n r n defect cruise period think change priority defect medium not required first product drop suggest r n r n agreed dealing shipboard mode app coming later roadmap thanks udpated priority medium per cancelling invalid taken development,duplicate issue
elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf r n waiting device test get device r nandroid not scope testing r ncancelling defect,reproducible or environment issue
issue fixed assigning testing issue reproduced n nsailor landing first incomplete task clicking rts card sailor dash board issue still exists assigning back attached recording n n n n thanks look per comment expected behaviour hence closing item r nwork first time intro screen handled bug,duplicate issue
issue also observed iphone x r nattached screenshot reference r n r n r nhi elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf r nwaitig android device validating get device r n r nandroid not scope testing r ncancelling defect,reproducible or environment issue
checked qa taking limited number character look thanks r ncc assistance reason field taking max number character no requirement given specific number character assigning back not bug r n r nfyi u confirm bug cancelled based new requested story added enhancement requirement new story mentioned comment r n r nfyi,cancelling defect
received defect last sprint change always show r n r n assist getting conflicting requirement provided team via defect cause duplicate work skews defect stats etc r n r n tracking test fixed r n r n per design checkbox text should appear user click email entry field exactly email sign module work r nthanks r nc need revert work completed last sprint part defect raised create task track rework not tracking defect since issue caused previously invalid defect yes originally working per comment need reverted r nthanks r nc,duplicate issue
assign correct team validate issue r nplease verify share updated status r n r nfyi issue still exists dcp suggest remove issue r android not supported anymore tested card reader assign wearable sailor check sailor app defect opened android using different version supporting sailor app perspective either retest one device cancel app thank sir,duplicate issue
still issue exists n nattached screenshot n n n n validate issue recent code drop thank tested latest build something not fixed ui since center aligned screen hence either text kept text not overlap r n r n suggest next step one r n r nassigning luis another item add experience bug item review ty n content should close ticket content changed,duplicate issue
provide design specifically not according design see actual issue description edited summary r nissue header text right aligned landscape mode should moved left r n header text right aligned landscape mode r n r nconcern enlarged landscape mode compared portrait mode not sure issue r n enlarged landscape mode r n r nportrait mode reference screenshot r n portrait mode r n not valid landscape tablet wide follows desktop breakpoint need input confirm expected shall close bug accordingly advise r nthanks r nc,duplicate issue
qa r n r nseaware add ons vv mod r n qa r n r nseaware add ons vv mod r n qa fyi ticket talked item already raised duplicate pending investigation vx team r nhere reference id r n r nalso shared rq r seaware team email february r n pagebypagecall xlsx guyz reuse document remove dependency u r n followup get update update sprint value since priority high defect r n closing duplicate tracking per,cancelling defect
ticket not stipulate module referenced update r nthanks r nc updated reference url thanks,working as expected
ticket not stipulate module referenced update r nthanks r nc updated reference url thanks,working as expected
ticket not stipulate module referenced update r nthanks r nc updated reference url thanks,working as expected
validate issue latest code drop thank,duplicate issue
qa no longer testing report,duplicate issue
user name used testing check thanks help one checked couple opportunity uat not able see recommendation panel naira pinged opportunity scncm see grey panel left hand side no activity listed pif opportunity not even see grey panel e g scnoh discussed well r n rupali r nplease see screenshot attached r n screenshot r n r nthis working expected check screenshot r n r nyou need go sailor account click booking booked pif top panel see recommendation left panel revert detail r n r nfyi thank gaurav help,working as expected
click feed button find transfer case button top default change case owner button removed per jira story check need update test case,cancelling defect
working uat expected retest confirm thank work,reproducible or environment issue
check bug update status confirm functionality still happening well need help should desired experience ty n see should good attempt thanks closing defect per adam comment n n nfyi,duplicate issue
santosh gandikota another high im afraid ada blocked booking existing issue production review would hate introduce new bug r nthanks r nc,duplicate issue
r ncan verify component functionality r nthanks n nthis per expectation needful n n n nthanks per requirement hence rejecting,working as expected
loophole utilising let know close ticket fyi r nthanks r nc not prod video chose test component change lower environment,duplicate issue
per discussion clare px difference px not work adjust,duplicate issue
new logged regression testing uat r nthanks r nc ready test uat verify close r n r nthis content issue believe,working as expected
uat bug logged regression testing r nthanks r nc author control not defect excellent news r nwant close r nthanks r nc,working as expected
new bug raised uat regression testing r nthanks r nc look prod n n screen shot pm screen shot pm think seeing strange behaviour uat make sure page fully loading logging defect case slow impacting page loading seeing r nclosing r nthanks r nc,working as expected
new bug created form uat regression testing r nthanks r nc saying not bug fixed cm author r nthanks r nc retested good r nthanks r nc,working as expected
magic r nhas cm update made share page r nthanks r nc,working as expected
reviewed bug ok r ninvalid defect cancelled r nthanks r nc,duplicate issue
also performance issue marketing page change team team robocopy thanks fyi should retested cdn image working bug created cdn might not configured uat yet let u know run user test based run test r n,reproducible or environment issue
also share email address know could also one account frank farro frank farro need start fresh set gmail id social login flow r n r nfyi,duplicate issue
want take one r nthanks r nc big found creative qa team validate true defect get assigned dc cap r n r n issue assigned dc r n r nthanks tried reproducing issue iphone android not able reproduce issue let know exact device name r n r nfyi r n retested given step reproduce issue still persists device detail r n device detail not see bug requirement design right section payment detail always focus scroll based screen stay focus r npoke dev done according since work r n r ncan confirm expected behaviour fix not move device expected r n r nassigning input final requirement r n story dc change needed r n r nfyi aligned pooja per design request right section would track user move start position text correct information move user scroll r ni rejected ticket bug r nthanks r nc cancelling per feedback fyi,duplicate issue
duplicate r n closing duplicate,duplicate issue
clone duplicate,duplicate issue
run flow mobile working correct give exact detail reproduce issue r nalso see attached video network connection really bad fb took forever load login page immediate back might also need time check device try good connection let know connection specific detail r n issue reproducible iphone io alone r n issue continuation talk fb opening window since fb open window able press back button r n get fix issue not present r n r nretest comment r nissue reproducible iphone io latest observation video r n uat iphone feb reproducable r n r nin device samsung tab fb open new window qa uat environment r n uat qa tab feb open new window r n validate need version validate try version r n r nthanks retested configuration issue still reproducible r n iphonex configuration detail bug committed status no sprint review r n r n update ticket r n r nthanks r nplease check still reproduceable closed no longer happening current environment,reproducible or environment issue
issue not recreating uat qa r no version android r ndevice name galaxy issue not reproducing r n,reproducible or environment issue
r nthis per design r n want stop landscape orientation r nfyi review provide team direction thanks r n advise r nthanks r nc yes could stop landscape orientation payment page mobile would great guided ux ui team r n r nthanks r n r nc r n r n fyi r ncan convert task story new item u r nthanks r nfyi created story marked not capacity take new work r ni linked story deferring bug story since not actually bug enhancement r n r nfyi deferred done enhancement story since working per design,cancelling defect
faq contact u not marketing page review r n r n update r n r nthank plan sprint detail around r n r n r n raised not requirement,duplicate issue
could retest also see data video uat look good not clear defect raised r n r n screenshot attached screenshot uat account used video correctly updated sfdc,working as expected
r nthis bug not valid recent search take following filter consideration r nitinerary selection r nsailor count r naccessible selected r ndate range r nreference story cweb r nthanks r nfyi hello r n r nthank update r n r nhello r n r nkindly advise mentioned item should pre selected coming recent search r n r nthanks r nrashmi changed due date based sprint date dq r n r n yes per original requirement item should selected r n r nthanks,working as expected
reviewed log occurrence error since go live looking detail found issue happening due apostrophe lastname duplicate r nplease review cancel one duplicate r nthis go live next prod deployment scheduled r n,duplicate issue
confirm feature should not look like generic share page case panel not supposed based original design r n change development r nthanks r nc not aware maybe answer r n r nthanks think part original thought private share never actually moved dev public share turned similar private share function not missing not expected developed honest not seen design maybe willing skipped look like aligned module personalised share page not pushed development therefore not bug r nbut design supplied life invision hahahahahaha r nthanks r nc functionality not implemented invalid bug r n r nthanks,working as expected
not able log mentioned credential check end remember account googe account not normal email tried able log email address testvv account associated different sw id bound issue trying use email think point corrupted not worth trying clean,duplicate issue
looking concerned team already working similar case r r n r nfyi adding,cancelling defect
contact u faq page salesforce page work managed controlled bug should ideally assigned investigation update dc consult advise whenever support needed resolve r n r nassigning salesforce team similar issue also open fyi duplicate observe related ui related navigation user click sign account cta faq contact u page currently sign account cta not availaible page able test defect sign account implement respective page r n r ntask reference r n logic login logout redirect function spike story r n recent search update r n visual update change account drop contact u faq r n test defect mention user story implemented application test defect implement system retested mentioned ticket delivered r n r n rashmi deferring linked ticket blocked due limitation salesforce changing priority high per defect triage meeting scheduled call technical team cm vv sfdc discus issue fyi said set medium priority becoz user story blocked due limitation sale force per defect triage bug cancelled behavior acceptable today created order track future improvement user experience fyi,cancelling defect
assigning dev investigation r n r nfyi qa close evidence uploaded n,duplicate issue
r ni guess happening certain resolution specify resolution tablet used r n r nthanks r n r n able produce issue apple ipad th gen inch o version x duplicate update bug cancel one cancelling defect another defect logged issue,cancelling defect
app no apt mandatory field ecomm optional app seems fill no apt city data ecomm truncating max character confirm expected behavior should match ecomm validation n,working as expected
clarify expected behavior currently app selecting first available element drop gender male female should blank n,working as expected
clarify expected label sign register facebook gmail button n,working as expected
r ncan look one r nthanks mention flow initiated contact u faq need trace story need info item yes encountered account flyout contact u faq relevant work spike,cancelling defect
vijetha kunduru web project not app cant help im afraid r ni assume need luis gonzalez alfie breitenstein r nmany thanks r nclare updated project review elmer deleon ic r ni retested defect drop still exists suite well cabin r nrefer attached screenshots r n li r n li r nreopening defect r nhi elmer deleon accountid cfeceefdece fixed assigning verification r n r nfyi luis gonzalez accountid aaabfecf verified build still suite information not available attached screenshot reference suite information able see information n n n nlet know bug persists specific condition n n confirm issue still present seems need certain condition reproduce currently tracking cabin name cabin number issue ticket,reproducible or environment issue
qa close confirm final behavior n,duplicate issue
deferring not focusing ie edge emoji slight difference every browser rendering head icon default behavior browser r n r nfyi r n r nthis ie browser specific behaviour emojis pulled resource file appear per compatibility browser r n deferring action fine know browser handle emojis differently rejecting bug r nthanks r nc r n r nthanks update per comment cancelling issue,working as expected
r nthanks checking mentioned tried incognito mode r nhowever modify url randomly receiving different error message r nand url modified forward slash give correct error message r nplease find attached screenshots r nreopening issue r n r nthanks r n test case incorrect trying execute custom page come modify slug end url not anywhere screenshot attached today broken community url u replaced fmdc pagename fmdc incorrect test scenario r nrequesting look comment saurabh r nwill close defect confirmation r nthanks r nthanks confirmation close defect r nrequesting add comment user story r nthanks,working as expected
r nthis pending implementation since yet not incorporated notification strategy sailor app r na understand strategy yet finalized business end r nthis picked latter sprint r n r n assigning since feature not yet implemented r n r nfyi r n r nthanks r naaroh review notification strategy document attached n per discussion feature not planned delivery should not tested,working as expected
r n r nfor two example mentioned ticket find analysis r n r nexample could see add sailor request mentioned lastname firstname email dob detail request body r nfebruary th r nemail rickannese r nfirstname rick r nlastname annese r npreferredname null r ngender null r ndateofbirth r n r nthis added sailor id anqiarqa r n r nthen could see update sailor request sailor anqiarqa detail request body r nfebruary th r nsalesforcepersonid anqiarqa r nemail rickannese r nfirstname riccardo r nlastname annese r npreferredname rick r ngender r ndateofbirth r n r nthese update detail firstname lastname email dob match sailor created automation anqhqak r n r nthus look like duplicate entry r nthere not seem issue adding sailor r n r nexample could not find request add sailor id sailorapi log anqddhqa r n r n r n r n r n r nfor patton debbie r napngp r napnbrh r n r nmarch th r nadd sailor request request body r nemail patton debbie r nfirstname debbie r nlastname patton r ndateofbirth r n r nmarch th r nsailor added apngpqaa r n r nmarch th r nupdate sailor detail request body r nemail patton debbie r nfirstname deborah r nlastname patton r npreferredname debbie r ndateofbirth r n r nthis update make sailor match detail automated sailor apnbrh r n r ni think scenario need handled update sailor no duplicate record check made updating sailor r n r nfyi r n r nsailor api check account uniqueness creating account crm no check updating sailor expected behavior r nwhen duplicate account cloudingo come picture merge record r n r nfyi still need open issue not occur handled part mcm production,duplicate issue
per user preference user account setting able receive mail inbox check account setting check another account r n r n screenshot r n r nfyi r n not change anything setting tried two account old new account creation mail going inside primary tab reset password mail going promotion tab send recording much helpful r nthanks depends provider inbox treat email r n r nsince email sent via marketing cloud defer ticket salesforce team r n guyz check anything r n r nfyi r nthanks update,working as expected
check issue according sub type field never mandatory r n r n f point requirement u sub type mandatory validation fo hq r n r naccording incorrect test case respond jira discussed drop agency sub type not mandatory available selection corporate hq multi location still optional field fyi closing defect bussiness fine way functionality working,duplicate issue
r n r na mentioned old ticket expected behavior no validation pushing optin flag r n r nwe going update functionality future sprint take care requirement r n r nfyi r n lead id tracking bug ticket created sagine appears rejected think need raise risk business not make proper user stitching possible r n r ncc cancelling based comment r n r n rashmi,duplicate issue
known defect requires change resolve linking user story address issue ran test qa seems working expected n n n nbookings n n total amount pif n n total amount offer n n n n transferred booking status booked pip see attachment n n n n transfer n n transfer n n transfer n n transfer n n n nsw working expected transferred full amount reservation sw reservation status shown booked sf opportunity stage shown booked pip seaware reservation status booked r nso full amount transferred status primary reservation should offered r nplease confirm behavior r nattached recording screenshot reference r n transferfunds sf r n r n r n r n r n r nsw know booking go bk mean booking no fund bk mean booking fund pip pif fund remove booking sailor service crew user sw access should one either cancel booking collect fund person requesting transfer fund invalid issue,working as expected
r ncan take look image rendered cm qa vxp not control size today r nthanks r nfyi duplicate,working as expected
look issue r nred line booking link representing active state booking page r nso not valid defect r n r n horizontal red line behavior ui sprint not matching one saw earlier sprint defect logged know expected behavior since qa supposed log discrepancy sort r nrequest confirm change ui talk lead provide instance saw earlier cancelling defect invalid invalid defect,duplicate issue
image proper aspect ratio seeing cabin suite type showing different view area dimension booking mobile sea view r n booking mobile sea terrace r n booking mobile rockstar duplicate r n r n ticket resolved closing r nthanks r nc,duplicate issue
run flow get correct price cabin help reproduce r n r nran flow chrome normal incognito window macbook window r n screen shot pm r n r nalso ran flow mobile r n r n r n r ni able reproduce issue hold cabin summary page r ncorrelationid b bca aa addfebbbd r n case one cabin available someone put hold r n come voyage result page see even though technically no longer available r n come cabin selection page show onwards available r n r ni seaware cache not updating case hold cabin since get price first page seaware cache r ni need guyz check share update r n r nwe wanted investigate not see anymore page investigate issue let u know reproduce lower environment recall expected last room category going avail not avail cache not enough time update lowest price inventory switching quickly new would occur case room room shopped released r n r nfyi r n r n could provide update defect discussed defect traige pooja r n r n advise see anything within correlation id pas sw seems edge case scenario r n r nthanks tried reproducing production today troubleshoot not encountering issue think timing thing should close ticket shopping two sailor r n r n may r n r n may r n r n may cat r n r ncc closing defect not reproducible per defect triage meeting r n r n keep eye happens send email look cancelling not reproduced r nokay santosh,reproducible or environment issue
initial issue mentioned standard salesforce behavior not modified rejected r n r nthe new issue mentioned today not clear step trying reset password click logo understood security feature password reset r n r nalso noticed couple issue invalid defect,duplicate issue
standard salesforce functionality implemented security reason,duplicate issue
test per pooja issue existing still hello r n r nthe not issue requirement go r n r nthanks r nrashmi,duplicate issue
duplicate defect id,duplicate issue
behavior noticed chrome safari edge browser r n r ncc rejecting due not able recreate iphone x safari browser closing defect another defect logged similar behaviour observed chrome attached video behaviour reprodicble io chrome r n r n,duplicate issue
issue noticed mobile web issue safari behavior see favicon different safari click url link see fav icon browser behavior valid defect however development not fix due browser restriction,duplicate issue
not code defect asset provided r nyes understood thinking acceptance criterion given seabed different provided cm different logged ticket r nthanks defect invalid acceptance criterion not based content provided airtable example cm implementation correct content flexible produced studio,working as expected
believe seaware issue due happening canvas app fyi could test bug,duplicate issue
fyi look default global error handling app expected error message issue not related error message related ui text getting overlapped not showing appropiate view attaching screenshot android io device android device o version io device o version x android device ui showing expected check screen android io device android screenshot io screenshot look android screenshot comparison io overlapping blank screen block sailor continuing give bad user experience,working as expected
item taken work item current sprint r nmsh also behaviour today throughout website r ndo want u make change throughout website not recall whether delivered way poke requested removed afterwards yes change would need made everywhere r nthanks r nc trace change done remove baseline would like take task confirmation yes happy user story show font colour underline uneditable field ensure update acceptance criterion wish merge ticket need flagged checking yes close r nthanks r nc r n r n closing one taken story,cancelling defect
not valid bug color based previous support new design worked upon story r nmsh ticket valid attached screen shot original design v current screenshot r nif resolved link not reject r screenshot r nthanks r nc font changed black per request go live grey not looking correct not properly visible ui r nit changed everywhere including sailor detail page r n screen shot pm r n r nwe going make change per new requirement would not bug r n also invision link show item grey editable non editable incorrect per request r n r n design done rule set place link show non editable field should look r nhere link show ediatble field should look request came form business change work hold fire speak andrew first make sure aligned r nthanks r nc r n checked andrew say page should match design let know requested change golive see bug r nthanks r nc donot exact traceability right try find r n r nfor reference color would grey drop down attached screenshots non editable field r n r ni also attached disabled state component library use r ntask tracked since tracking task close bug r ntask linked bug tracked,duplicate issue
r ncan verify update made performance optimization r n r nthanks able verify performance optimization closing issue not reflected recent run stage environment n n,duplicate issue
verify one done performance optimization booking website r n able verify performance optimization closing issue not reflected recent run stage environment n n n n,duplicate issue
fyi looking looking could also check end click continue button complete html content page replaced script r r nwe found pushing ecomm purchase data data layer updating html make page blank confirm update deployed goggle tag manager script used ecomm website not quite sure datalayer impact ecommerce datalayer month used work correcty r n r n could confirm started happen r n r n must rendered hortjar not gtm datalayer note added two tag yesterday gtm rd party tapc tripadvisor tag staging however tag added causing would not impact production not released production gtm based screenshots story issue experienced production correct experienced production r n r n code datalayer sent site since feb would cause issue starting yesterday site month r n r n code not added site no control code site r n r nif code causing should addressed developer case run back end lookup cause r n r na mentioned added two tag staging yesterday rd party tripadvisor pixel not related code sent however not explain issue would also present production tag not added production yet r n r nthanks head r n r na mentioned previously change made yesterday staging addition two tripadvisor tag gtm paused tag messaged enabled said issue also production tag not added production last week bug fixed ecommerce datalayer checked friday code not staging note latest message story not sure code added yesterday causing should not impact production no longer see issue production look like guy still troubleshooting leave ticket open,cancelling defect
per previous conversation user should able edit contact detail without reservation place e mail still locked contact info tab click lock tell change go account setting tab,duplicate issue
test latest build cabin tablet guess duplicate one already closed r n verify seems working light button reflects status pressed marking cancelled,reproducible or environment issue
prod believe check r n r nfyi assigning update r n r n rashmi closing duplicate,duplicate issue
browser device specific unable replicate mac desktop chrome attached r nthis not considered high priority go production r nthanks r nc r n screenshot r n fyi issue observed chrome scenario logged not logged r nvideo logged r n uat chrome logged r nvideo not logged r n uat chrome not logged r n understand problem would say need review specific screen size device see screenshot not able replicate neither way agreed not high priority action accordingly need go dc prioritisation nthanks nc n assigning dc per want discus bug expect user zoom upto device see website possible production case bug yes sitewide review would also need know different website expected run properly plan work would expect work item story not bug r ni wan na ensure putting bandwidth actually needed since tagged medium severity issue r n r nfyi also fyi issue cm produced module bug header footer would say not issue should not focusing time unless entire team nothing else doubt case not speak qa dev r ni marked low priority not supposed set severity r n said ada case yes would need review whole website feature guess zoom requirement tried google search find cant find anything exact follow r clause could find requirement zooming wcag however according ada audit completed passed part audit considering defect invalid r n r,duplicate issue
